City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,merauke,-8.4667,140.3333,302.14,72,93,5.42,ID,1669854727
325,arlit,18.7369,7.3853,293.02,24,9,2.67,NE,1669854728
326,rocha,-34.4833,-54.3333,292.99,92,1,5.58,UY,1669854729
327,pangnirtung,66.1451,-65.7125,243.99,83,6,2.01,CA,1669854729
328,yurga,55.7231,84.8861,246.11,99,11,1.26,RU,1669854730
329,necochea,-38.5473,-58.7368,287.57,87,100,6.39,AR,1669854608
330,kavieng,-2.5744,150.7967,302.48,66,100,1.3,PG,1669854730
331,ushi,40.3487,44.3725,275.54,87,100,0.44,AM,1669854732
332,san francisco,37.7749,-122.4194,287.37,68,75,5.14,US,1669854454
333,kalbay,5.7233,125.4986,300.14,80,100,3.23,PH,1669854733
334,fort nelson,58.8053,-122.7002,243.92,76,0,1.54,CA,1669854734
335,arona,28.0996,-16.681,290.44,72,75,5.14,ES,1669854734
336,angelopolis,34.0522,-118.2437,289.68,71,100,4.63,US,1669854579
337,tandil,-37.3217,-59.1332,286.86,97,100,4.9,AR,1669854602
338,olafsvik,64.8945,-23.7142,279.59,80,44,15.02,IS,1669854736
339,kualakapuas,-3.0091,114.3876,299.82,87,92,1.1,ID,1669854736
340,chenzhou,25.8,113.0333,273.04,95,100,2.74,CN,1669854737
341,mentakab,3.4865,102.3516,297.01,99,100,0.69,MY,1669854738
342,constancia,24.2231,-107.1869,294.88,58,99,4.25,MX,1669854738
343,bosaso,11.2842,49.1816,297.33,82,6,1.1,SO,1669854739
344,green river,41.5286,-109.4662,271.37,79,10,2.25,US,1669854739
345,lewiston,44.1003,-70.2148,285.96,96,100,8.75,US,1669854442
346,tahoua,14.8888,5.2692,296.14,27,0,1.03,NE,1669854740
347,lima,-12.0432,-77.0282,293.29,68,0,6.69,PE,1669854741
348,cockburn town,21.4612,-71.1419,300.41,69,41,8.36,TC,1669854741
349,kaihua,23.3687,104.28,289.03,95,90,3.16,CN,1669854742
350,jibuti,11.5,42.5,293.01,81,9,3.91,DJ,1669854742
351,saint-francois,46.4154,3.9054,278.53,93,100,1.54,FR,1669854666
352,cayenne,4.9333,-52.3333,298.17,94,100,0.0,GF,1669854605
353,wanaka,-44.7,169.15,289.88,56,70,1.34,NZ,1669854744
354,soto la marina,23.7667,-98.2167,289.94,87,100,6.06,MX,1669854745
355,eureka,40.8021,-124.1637,284.49,87,100,3.13,US,1669854626
356,bafoulabe,13.8065,-10.8321,301.63,17,98,1.44,ML,1669854745
357,santa marta,11.2408,-74.199,301.18,73,20,6.71,CO,1669854492
358,aklavik,68.2191,-135.0107,256.15,85,100,2.06,CA,1669854597
359,razvilnoye,46.2387,41.2987,271.42,67,55,9.53,RU,1669854746
360,sale,34.0389,-6.8166,285.23,100,75,0.0,MA,1669854747
361,port lincoln,-34.7333,135.8667,291.02,65,4,5.35,AU,1669854748
362,bohuslav,49.5494,30.8744,270.9,72,83,2.96,UA,1669854721
363,nuuk,64.1835,-51.7216,268.08,92,100,13.86,GL,1669854749
364,saint-pierre,-21.3393,55.4781,295.97,64,20,2.57,RE,1669854750
365,agucadoura,41.4318,-8.7804,285.46,80,100,3.25,PT,1669854750
